client_id,entry_date,entry_month,entry_price,official_price,entry_era,is_promo,is_annual,price_changed,unique_amounts,n_transactions,last_payment,total_revenue,tenure_days,tenure_months,is_active,churn_event,km_duration,km_event
1,2023-11-05 18:04:23.495,2023-11,35.6,99.0,era_99,True,False,False,1,1,2023-11-05 18:04:23.495,35.6,0,0.0,False,1,0.01,1
2,2023-11-05 18:18:50.352,2023-11,89.0,99.0,era_99,True,False,True,3,4,2024-11-05 21:51:13.699,1335.31,366,12.02365308804205,False,1,12.02365308804205,1
3,2023-11-05 18:23:21.986,2023-11,378.25,99.0,era_99,True,False,False,1,5,2025-11-05 19:26:53.592,1891.25,731,24.014454664914584,False,1,24.014454664914584,1
4,2023-11-05 18:31:17.069,2023-11,75.65,99.0,era_99,True,False,False,1,4,2024-02-05 19:32:25.278,302.6,92,3.0223390275952693,False,1,3.0223390275952693,1
5,2023-11-05 18:37:02.766,2023-11,75.65,99.0,era_99,True,False,False,1,8,2024-06-05 20:38:27.983,605.2,213,6.9973718791064385,False,1,6.9973718791064385,1
6,2023-11-05 19:00:53.935,2023-11,801.0,99.0,era_99,False,True,False,1,3,2025-11-05 20:02:41.793,2403.0,731,24.014454664914584,True,0,24.014454664914584,0
7,2023-11-05 20:18:29.731,2023-11,75.65,99.0,era_99,True,False,False,1,27,2026-03-05 21:19:03.289,2042.5500000000002,851,27.95663600525624,True,0,27.95663600525624,0
8,2023-11-05 20:55:07.060,2023-11,75.65,99.0,era_99,True,False,False,1,11,2024-09-05 22:56:27.752,832.1500000000001,305,10.019710906701707,False,1,10.019710906701707,1
9,2023-11-05 21:43:32.964,2023-11,756.5,99.0,era_99,False,True,False,1,2,2024-11-05 22:44:17.283,1513.0,366,12.02365308804205,False,1,12.02365308804205,1
10,2023-11-05 21:48:37.484,2023-11,75.65,99.0,era_99,True,False,False,1,24,2025-10-05 23:52:37.370,1815.6000000000001,700,22.996057818659658,False,1,22.996057818659658,1
11,2023-11-05 21:53:25.766,2023-11,75.65,99.0,era_99,True,False,False,1,25,2025-11-05 22:54:45.047,1891.2500000000002,731,24.014454664914584,False,1,24.014454664914584,1
12,2023-11-05 22:32:52.096,2023-11,89.0,99.0,era_99,True,False,False,1,8,2024-06-06 00:34:00.898,712.0,213,6.9973718791064385,False,1,6.9973718791064385,1
13,2023-11-06 09:30:19.759,2023-11,89.0,99.0,era_99,True,False,False,1,5,2024-03-06 10:31:24.073,445.0,121,3.9750328515111693,False,1,3.9750328515111693,1
14,2023-11-06 11:13:49.726,2023-11,75.65,99.0,era_99,True,False,False,1,1,2023-11-06 11:13:49.726,75.65,0,0.0,False,1,0.01,1
15,2023-11-06 11:20:39.475,2023-11,890.0,99.0,era_99,False,True,False,1,1,2023-11-06 11:20:39.475,890.0,0,0.0,False,1,0.01,1
16,2023-11-06 11:22:11.121,2023-11,756.5,99.0,era_99,False,True,False,1,1,2023-11-06 11:22:11.121,756.5,0,0.0,False,1,0.01,1
17,2023-11-06 11:37:27.359,2023-11,75.65,99.0,era_99,True,False,False,1,29,2026-03-06 12:38:35.265,2193.8500000000004,851,27.95663600525624,True,0,27.95663600525624,0
18,2023-11-06 12:12:12.316,2023-11,890.0,99.0,era_99,False,True,False,1,3,2025-11-06 13:15:37.610,2670.0,731,24.014454664914584,True,0,24.014454664914584,0
19,2023-11-06 13:55:52.106,2023-11,80.1,99.0,era_99,True,False,False,1,1,2023-11-06 13:55:52.106,80.1,0,0.0,False,1,0.01,1
20,2023-11-06 14:10:26.780,2023-11,712.0,99.0,era_99,False,True,False,1,1,2023-11-06 14:10:26.780,712.0,0,0.0,False,1,0.01,1
21,2023-11-06 14:40:32.367,2023-11,89.0,99.0,era_99,True,False,False,1,1,2023-11-06 14:40:32.367,89.0,0,0.0,False,1,0.01,1
22,2023-11-06 15:03:16.117,2023-11,89.0,99.0,era_99,True,False,False,1,1,2023-11-06 15:03:16.117,89.0,0,0.0,False,1,0.01,1
23,2023-11-06 15:40:33.108,2023-11,378.25,99.0,era_99,True,False,True,2,10,2025-05-02 10:27:26.187,1899.25,542,17.805519053876477,False,1,17.805519053876477,1
24,2023-11-06 16:56:32.695,2023-11,75.65,99.0,era_99,True,False,False,1,6,2024-04-06 18:57:53.601,453.90000000000003,152,4.993429697766097,False,1,4.993429697766097,1
25,2023-11-06 17:15:32.841,2023-11,890.0,99.0,era_99,False,True,False,1,1,2023-11-06 17:15:32.841,890.0,0,0.0,False,1,0.01,1
26,2023-11-06 17:15:56.869,2023-11,890.0,99.0,era_99,False,True,False,1,1,2023-11-06 17:15:56.869,890.0,0,0.0,False,1,0.01,1
27,2023-11-06 17:34:52.613,2023-11,89.0,99.0,era_99,True,False,False,1,2,2023-12-06 18:37:38.599,178.0,30,0.9855453350854139,False,1,0.9855453350854139,1
28,2023-11-06 17:52:22.393,2023-11,75.65,99.0,era_99,True,False,False,1,6,2024-05-06 19:53:25.798,453.90000000000003,182,5.978975032851511,False,1,5.978975032851511,1
29,2023-11-06 18:17:18.959,2023-11,80.1,99.0,era_99,True,False,False,1,17,2026-03-06 19:18:17.181,1361.6999999999998,851,27.95663600525624,True,0,27.95663600525624,0
30,2023-11-06 18:18:25.484,2023-11,756.5,99.0,era_99,False,True,False,1,3,2025-11-06 19:21:51.454,2269.5,731,24.014454664914584,True,0,24.014454664914584,0
